model,MSE,dataset
linearModel,0.26057262002426623,1_1
linearModel,0.32360692100888855,1_2
linearModel,0.26789677324267563,1_3
linearModel,0.33518885055800735,1_4
linearModel,0.3215892438602057,1_5
randomForest,0.17708090175036023,1_1
randomForest,0.1778795651543115,1_2
randomForest,0.23681970741927452,1_3
randomForest,0.35695374099579,1_4
randomForest,0.2586996399949596,1_5
lasso,0.3109808467574476,1_1
lasso,0.3516004718101653,1_2
lasso,0.482183225146634,1_3
lasso,0.707694131563812,1_4
lasso,0.31954255398438325,1_5
linearModel,0.014190740159076124,2_1
linearModel,0.016344615376627642,2_2
linearModel,0.019174802837470615,2_3
linearModel,0.012127678277354274,2_4
linearModel,0.0140545991654851,2_5
randomForest,0.018562538060529928,2_1
randomForest,0.01973511575259254,2_2
randomForest,0.02084398963821763,2_3
randomForest,0.017929240807915494,2_4
randomForest,0.02001366282592511,2_5
lasso,0.03262755292988901,2_1
lasso,0.03523533357828243,2_2
lasso,0.036041304080416316,2_3
lasso,0.039269738888971326,2_4
lasso,0.03443652162793467,2_5
linearModel,0.05866627307553877,3_1
linearModel,0.07400731721979265,3_2
linearModel,0.05755393687845289,3_3
linearModel,0.058586358853223025,3_4
linearModel,0.17815043486319804,3_5
randomForest,0.07277932303563518,3_1
randomForest,0.0906450154879114,3_2
randomForest,0.0738784013388832,3_3
randomForest,0.0768020837708036,3_4
randomForest,0.17805419597776698,3_5
lasso,0.13465403689561722,3_1
lasso,0.1476062364938255,3_2
lasso,0.135640650670338,3_3
lasso,0.13779134769203485,3_4
lasso,0.24667661136732294,3_5
